Discord User Names,Number of Nodes,Type of Node
Small Daddy#8894,2,Full Node
imnotdoneyet#2693,3,Slice Node
йогурт (максимка)))#6267,3,Full Node
starnodes#7691,1,Slice Node
VolBog#1484,1,Slice Node
badboyvip#2114,,
dimka1109#2655,3,Full Node
Temik#0611,1,Slice Node
Godthey#3320,3,Full Node
LuLBoB#0565,1,Full Node
sadzerr#6332,1,Full Node
ruchera | 🐰#8888,1,Full Node
DiscoShit#9221,1,Slice Node
alexis15#9264,2,Full Node
EwpLine(Евгений)#1073,3,Full Node
Rakamakafoto#0470,1,Slice Node
goodwin#0418,,
EvgeniyS.#1306,1,Full Node
Flip#1686,1,Slice Node
Q6#9218,1,Full Node
GidON#6790,1,Slice Node
peterlag#8404,,
Conqueror#1312,2,Slice Node
aroe.west#3474,,
andrey_5555#3753,2,Full Node
utkanosik#5277,1,Slice Node
marian#8243,1,Full Node
OlegBorodiy#9489,1,Full Node
vandike#8736,,
jonny_in#5775,3,Slice Node
Node333#8780,2,Full Node
socute#7900,1,Full Node
Myfix#3305,1,Full Node
vit#8101,1,Full Node
Flip-ok#6525,1,Full Node
AnastasiaBarodziy#4864,1,Full Node
Gryhail#3416,1,Full Node
alexmanilove#8229,1,Full Node
Log4j#7437,1,Full Node
Gerakl#3207,3,Full Node
casual1st#9695,1,Slice Node
edudukin#1412,3,Full Node
DHK_krm#2422,1,Full Node
KhunChan#6782,1,Full Node
ink#6275,3,Full Node
Kulbitsky#3669,1,Full Node
SereJkere#9387,1,Full Node
DimaMOROZ#6974,3,Slice Node
DoppelgangerXII#0448,2,Full Node
pananyaYA#3927,3,Slice Node
agunek#2463,3,Slice Node
babi4#7111,3,Slice Node
Леонид#8271,2,Full Node
Sfory#8353,3,Slice Node
cba982#7340,3,Full Node
papo4kame#7608,3,Slice Node
toxi4pro#3489,1,Slice Node
paykYA#8002,3,Slice Node
lipsiHA#7485,3,Slice Node
domon#4666,3,Full Node
D-Elektra#0780,3,Full Node
baton#2958,3,Slice Node
doppelganger23#1836,3,Full Node
alexdeve#3942,3,Slice Node
elka#5253,3,Slice Node
SimonK#6571,3,Full Node
avq1#1022,1,Full Node
jason123#0576,3,Slice Node
mrworks#6774,1,Slice Node
SanyaKemer1#1635,1,Slice Node
baozi#1968,3,Slice Node
resuba#3707,2,Full Node
myuriy#7528,1,Full Node
El_node#4510,3,Full Node
MSV961#4839,1,Full Node
cyberomanov#7985,3,Full Node
Starbucks#8102,3,Full Node
ShahidM#2379,2,Full Node
Weregin#4090,3,Full Node
Enthusiast#6535,3,Full Node
xin#8037,3,Full Node
coinzzz#9819,1,Full Node
femiuri#8358,1,Full Node
0xFendiman#3523,1,Full Node
ngocdoan#9641,1,Slice Node
Esorat#6269,2,Full Node
Ksenobayt#9049,2,Slice Node
winner⚡#6015,3,Full Node
Daneron#7561,2,Slice Node
xfrix#0452,1,Full Node
Максим(Екатеринбург)#5593,2,Full Node
urii.schein#4478,2,Full Node
kl0ndike#9748,3,Full Node
fluffypony#0962,3,Full Node
Diana9213#8137,1,Full Node
uralsky#3493,2,Full Node
Аleksandr Mensakov#4908,2,Full Node
chikchirikebat#4155,3,Slice Node
axis#9563,3,Full Node
Rockstar#3119,3,Full Node
GAngsory#8380,3,Full Node
Marinagy#5643,1,Slice Node
heist#1311,3,Full Node
dylan#9380,1,Full Node
Baron#7970,2,Full Node
Pasha030687#3160,1,Slice Node
Ilya | Hello.Crypto#2521,3,Full Node
jipster#0379,3,Full Node
Дружинин Дмитрий#5629,1,Full Node
PHIL#7040,1,Full Node
Jaha#9160,3,Slice Node
upsert#6433,3,Full Node
svadba_dekoru#3914,1,Slice Node
NickG#0650,1,Full Node
maxymusstas#2535,3,Slice Node
VArt#9432,3,Full Node
Reddi#6840,1,Full Node
tsunami#3663,3,Slice Node
Andrei84#7268,2,Slice Node
Emil77#2933,1,Full Node
Avdonin#9592,1,Slice Node
mr#9464,2,Slice Node
tot_samiy_chel#3573,1,Slice Node
IcebergCrypto#9587,1,Slice Node
YungDanix#2050,3,Slice Node
Михаил888#8532,1,Full Node
PokemonCatcher#8103,1,Slice Node
Vercual12#8914,1,Slice Node
GArry#6418,3,Slice Node
Irina 8888#8794,,
Leok#5433,1,Full Node
albot#7445,3,Full Node
domart#4516,1,Slice Node
Itgiant1024#1082,1,Full Node
JackWolf#1104,3,Full Node
Sergey Chudarin#5114,1,Full Node
NailKam,1,Full Node
Mikhail#3595,2,Full Node
PafaIv#1883,1,Slice Node
Vladimir5N#2662,3,Full Node
Dimus#8649,1,Full Node
zly000#0653,3,Full Node
chtotodrygoe#2455,1,Full Node
DRmarkoviBil#5096,1,Full Node
polosanatole#4656,1,Slice Node
MariaBean#7266,3,Full Node
Skiba#7327,1,Full Node
TruTaTur#1560,3,Slice Node
jilleendqhrea#2438,3,Full Node
kenan.glv#7877,,
Romario88#8493,1,Full Node
Vivian#1489,3,Full Node
Gonfludd#9181,1,Full Node
laptop keyboard#0838,2,Full Node
marikjr#3528,1,Full Node
OlegIgosh#5463,3,Slice Node
Alexwrx#1576,2,Full Node
Igor Svit#4672,1,Full Node
anna_nanna#1043,2,Slice Node
DANIIL.A#5105,1,Full Node
Mykola#8985,1,Full Node
2loop#8719,2,Slice Node
linear zong#4988,3,Slice Node
nanaPa6oTaeT#8630,3,Slice Node
Çağlar#2261,1,Full Node
Sergio#0083,1,Full Node
peterpen#5181,1,Slice Node
vladimi#8636,1,Slice Node
Imboko#5129,3,Full Node
lucierserz#6672 ,3,Full Node
LordAeron#8429,1,Full Node
doraemon#6293,1,Slice Node
Denis#7501,1,Full Node
sakura1169#7430,1,Slice Node
vmdev#7377,2,Slice Node
maybeM | Aleo#9176,3,Full Node
Rinat#2698,1,Full Node
Ariem#3485,3,Full Node
veta_garde#8873,2,Slice Node
Igor55#1925,1,Full Node
ethann133#5298,1,Full Node
SBL | Knopaman#9803,3,Full Node
Koka#3010,,
gutsonshena#4792 ,2,Slice Node
strazhnyk#8582,2,Slice Node
dive silver#7131,3,Slice Node
Sevr#3371,1,Full Node
Artas#4950,2,Slice Node
NealIsabella#1135,1,Slice Node
krionish#0358,2,Full Node
Yaroslav7995#3946,1,Full Node
Garik#6504,2,Full Node
Dimon#1222,1,Full Node
ds ts#7081,3,Slice Node
Ilya Anikin#3783,1,Full Node
nyumonsha#1501,3,Slice Node
Alexgas#6531,1,Full Node
mimoza#3804,3,Full Node
...pneumA1#1588,1,Full Node
Tanya92#0859,1,Slice Node
lol data#3374,3,Slice Node
thedisik#3835,1,Slice Node
BuRn#5315,1,Full Node
Max B.#8499,1,Full Node
Denys_Bohdan#5537,1,Full Node
roter#2439,1,Full Node
boriselvzaq#1676,3,Slice Node
tirom#3037,1,Full Node
Vorobeishistvo#0086,3,Full Node
favnenok#5851,2,Slice Node
denchik_z#9686,3,Full Node
lilitusup#2619,3,Slice Node
mdx#0100,2,Full Node
bigweek #3227,3,Full Node
Nikitа5#7601,1,Slice Node
Alex-kun#3144,3,Full Node
tsubylua#7240,3,Slice Node
sprihodko#2572,1,Full Node
Vb12misha#8655,1,Full Node
Andrii#3835,1,Slice Node
VadymBortsov#1280,1,Full Node
onesmore#4505,2,Full Node
pudge age#7294,3,Slice Node
nazarpelekh#8333,1,Full Node
spykervin#0880,1,Slice Node
Boring_Succotash#9345,2,Full Node
DANTORO#7418,1,Slice Node
Anorak#5459,1,Slice Node
Rusing#0488,3,Full Node
solstice#1155,3,Slice Node
OlegIgoshin#6546,3,Slice Node
GibbsOlivia#3300,1,Full Node
Vadimenkovlas#7439,1,Slice Node
Anton.Doc#4521,1,Full Node
Catalean#0268,3,Slice Node
Thels#5199,2,Full Node
barni33#5885,2,Full Node
ynz#7774,1,Full Node
HectorHart#7300,1,Full Node
"alvl3, alvl2, alvln1",3,Full Node
Belvedera#8184,3,Full Node
Arsen-tough#3656,2,Full Node
GirouxValerie#6200,1,Full Node
Kwyne#7815,2,Full Node
aibadelia#6873,2,Slice Node
sowell | NodeSy#5023,3,Full Node
Tiamo#9129,,
Dyachkov#3021,1,Full Node
Konstantin#7784,1,Full Node
Yola#9906,2,Slice Node
Мариша#0137,,
ippon100#6201,1,Full Node
quia_arina_23,1,Full Node
Vladimir_1234#7543,3,Slice Node
Artururur#1174,3,Full Node
Galina#1124,1,Full Node
jayjay#4970,3,Slice Node
Roman K#6511,3,Slice Node
0xAN | Nodes.Guru#9991,1,Slice Node
VirteKsTheCat#9831,1,Slice Node
Becoming#5466,1,Full Node
GGBB#2026,1,Full Node
Gordon Freeman#4502,3,Full Node
Oleh#0790,,
kote#1688,1,Full Node
LubaCool#5956,3,Full Node
egoras72#5460,3,Slice Node
riddleoleh#5079,,
ikkiCr64704734#6431,,
Kir#7528,1,Full Node
SHarp_oO#2308,,
Innele #0683,1,Full Node
Оберин Мартеll#4943,2,Slice Node
sergey busko#9798,1,Full Node
spaunes#8486,3,Slice Node
Alexander#7308,1,Full Node
VladFyodor#4137,1,Full Node
NikolyaPowerOFF#8044,,
Vt#0086,1,Slice Node
dcl#3329,1,Full Node
Mexx#5910,1,Slice Node
ARTEM | DAPE#8113,1,Slice Node
bIVeHb#4665,,
awhite96#1859,2,Full Node
ipavlovskyi#3883,,
ananasey#9915,1,Full Node
activn_gomes337#8014,1,Full Node
ultima#5461,3,Slice Node
@Mazhid#2725,1,Full Node
Greender7610#7271,2,Full Node
HAZE#6666,2,Full Node
yu0719#9692,2,Full Node
Serhii Shylo#1868,3,Full Node
andybut#3606,1,Full Node
alex94#0403,2,Slice Node
Uncle Bogdan#5559,1,Full Node
jack0719#1962,2,Full Node
mdlog123#6466,3,Full Node
dillsp88#0762,2,Slice Node
Vladik#1919,3,Full Node
Dreamko#5361,2,Full Node
versace1017#7970,1,Slice Node
tost3r#0499,2,Full Node
sw#9121,3,Slice Node
joser#9625,2,Full Node
denis_zloy#5735,1,Full Node
Andrey Kobtsev#2813,1,Slice Node
Sh1Zza#9361,1,Full Node
timeover#8548,2,Full Node
yarnik#5413,1,Full Node
MrP1nchy#1197,1,Full Node
satoshka#0243,3,Full Node
Danata#6592,3,Slice Node
Arturion#7570,3,Full Node
rafey#5967,2,Full Node
INVICTUS#0873,1,Full Node
qwerty123#5384,3,Slice Node
marakan82#5525,1,Full Node
olegin77#9014,1,Full Node
alexKa#6690,3,Full Node
RichardsKaren#1200,1,Full Node
hunterchemelli#7055,1,Full Node
Снег#5870,2,Full Node
CuencaAna#0100,3,Full Node
Misha#5140,1,Slice Node
apple101#9733,2,Full Node
AmeliaGriffin#3300,2,Full Node
hannibal1207#8167,1,Full Node
AnnaSot#3966,,
Champion#6669,1,Slice Node
CptMcTawish#7530,1,Full Node
woskeva@gmail.com,,
ky#4332,3,Slice Node
Artyom#0210,3,Full Node
Sherian#0116,2,Slice Node
whne#1904,3,Full Node
Ikar#9143,2,Full Node
stanislau_3#5971,1,Full Node
hyunjong  Cho#0816,3,Slice Node
NinaTNL#0413,1,Full Node
semio11111#5595,2,Slice Node
Mykhailo#7547,3,Full Node
contextual#2782,2,Full Node
Evgeniche#4694,2,Full Node
BlackHareKnight#7953,1,Full Node
Eluha#8007,2,Slice Node
Aaa#6281,,
BIGSTAGE#5829,2,Slice Node
Goodelijah#9561,2,Full Node
Arlekin#1656,3,Full Node
Radius#3107,1,Slice Node
Molesterx#5383,3,Slice Node
Ronion#2480,1,Slice Node
Vlad1slav#1702,1,Slice Node
Blader#4342,1,Slice Node
Kramarjkee#7378,1,Slice Node
cryptocapchik#5954,1,Full Node
maslo248#6672,3,Full Node
Momyzlya#4182,1,Full Node
Tawer95#1502,3,Slice Node
DimaWhite#4514,1,Full Node
8724,2,Full Node
verstak#3259,3,Slice Node
mrZorg87#2996,2,Slice Node
povar#2407,3,Full Node
Igos#0949,1,Slice Node
SmOkE#4468,1,Full Node
Yehor#3476,1,Full Node
ManMaxMove#6147,1,Full Node
borabora#5497,1,Full Node
kansas city shuffle#3516,2,Full Node
kwerg#8501,3,Full Node
mixail. li#9713,3,Slice Node
Red1878| RØ CRYPTØ#2045,1,Full Node
ryzh_man#0012,,
vitek#9360,3,Slice Node
sind#4127,1,Full Node
dench7#2989,1,Full Node
hell0men#0694,1,Slice Node
Костян спб#2966,1,Slice Node
mouse#6089,1,Full Node
SergeyMorki#2044,1,Full Node
SaidanSoll#7693,1,Full Node
김프 사무소장#0212,1,Full Node
Yaroslav#4757,2,Full Node
global#4775,1,Full Node
StellarMom#5945,1,Full Node
Coldlapse#2124,1,Full Node
JeanCryptalk#2567,3,Full Node
Emfler#7209,1,Full Node
_Maxx#5559,2,Full Node
Glowman.sol#7758,3,Full Node
mikhail#0731,2,Slice Node
akalmans#2854,1,Full Node
wkalmans#1688,1,Full Node
dayanka#4217,1,Full Node
Adelina Vasina#4710,1,Full Node
Eugene265#6215,3,Full Node
CryptoMafia#9303,,
Ramis_Karaiski#9601,1,Full Node
Masha#5394,2,Full Node
GuessWho#0133,1,Full Node
goldstream#8764,2,Full Node
AHHA#8944,2,Full Node
Serkanol#8753,1,Full Node
dUmm4y#6277,1,Slice Node
Yevgenius#7760,1,Full Node
Morze#9503,1,Full Node
Brasco#1779,1,Slice Node
OptimusAlgo91#0945,1,Full Node
kostetx#8841,1,Full Node
Slim#0090,1,Full Node
chip2017#6920,1,Full Node
thorizer#6652,2,Full Node
ternerdol76#2627,1,Full Node
DmitryK#8144,1,Full Node
Sergey777#9335,2,Slice Node
Lesbian#5883,1,Full Node
Bibbes21 | MOONINGLABS#2957,2,Full Node
Serhii#8324,1,Full Node
valmon#6345,1,Full Node
ArtemTsymbalyuk#3472,3,Slice Node
Albert Heijn#6261,1,Full Node
amskray#9771,2,Slice Node
t3h1337#6905,1,Slice Node
Miramon4#4024,1,Full Node
RemyTT#1273,3,Slice Node
Pavel1007#9773,1,Slice Node
delit_ff#0140,3,Slice Node
MagicHalf[CrypTech]#0932,1,Full Node
creeek.eth#5494,3,Slice Node
didk#8823,3,Full Node
darilgg#3047,3,Slice Node
1oneder#3687,3,Slice Node
Ali Warrior#8818,2,Slice Node
SergioE#5543,1,Full Node
lolik#3412,3,Slice Node
MariShau#9486,1,Full Node
Mini cyller#7164,1,Full Node
Paradigma#8706,2,Full Node
Artes#9997,1,Full Node
Platan#1097,3,Full Node
OksiBEL#3174,3,Slice Node
icc#0703,1,Full Node
Mikhail#8294,2,Slice Node
OZZY#8072,3,Slice Node
Mov#4391,2,Slice Node
AnnaLot#7434,1,Full Node
Dorian Gray#7221,1,Full Node
asuohann#9181,3,Full Node
bagdad#0613,1,Full Node
yeodi#3234,1,Slice Node
Rossignolskier#2733,2,Full Node
4itor#1979,2,Full Node
ne_zlog#2751,2,Full Node
Andre1#6169,1,Full Node
wellaniabi#8813,3,Full Node
___anna___#6535,1,Full Node
DenPu#5697,1,Full Node
lfc18#0434,1,Full Node
Alex_Kaprizz#0299,1,Slice Node
andreikohnovskiy#1235,,
abramovich#3547,,
webnerdist#9261,1,Full Node
rumyancev#9857,,
fedornyas#4519,,
karpovnich#2454,,
Torbar#1349,1,Full Node
levayashka#9686,,
davsergun#6774,,
lazybuzz#7374,2,Full Node
BlueJean#1732,3,Full Node
archinard#8912,3,Slice Node
SampleText#8574,1,Full Node
kriptachina#6123,2,Full Node
tori_elro#2772,1,Full Node
SpaceTraveler#3020,1,Full Node
yoyo1#6830,2,Full Node
Magnat79#7309,1,Full Node
DbIM OK!#0500,3,Full Node
MegaBosS#6853,2,Slice Node
swtmbx#4627,1,Full Node
onesweet#3780,1,Full Node
smoking01#7096,2,Full Node
Mr_Pool#6368,3,Slice Node
twosweet#4692,1,Full Node
aaaaallll | ChainOps#9543,1,Full Node
threesweet#4240,1,Full Node
fatimawareo#7233,1,Full Node
wardar#8424,1,Slice Node
GeoKraken#5229,1,Full Node
TonyChayoni#7688,2,Slice Node
TosLem#9487,1,Full Node
glukoss.Inc#9485,,
SAKURA#0129,1,Full Node
Fantomas#2816,1,Slice Node
Alex21rus#2487,1,Slice Node
rb#1683,2,Slice Node
sr20de#7650,3,Slice Node
BlueFireDreams#7907,,
alexiyko#2295,2,Slice Node
Karagi#0510,3,Full Node
PinkPanther#6651,1,Full Node
Slepkov#6605,1,Slice Node
EvgeniyMamin#4588,2,Full Node
youngha#9048,3,Slice Node
YuliaMat#1747,1,Full Node
ruinova#3526,1,Full Node
ihorprutian#8468,3,Full Node
VikKuzzmina#3012,1,Full Node
Kikalxd#9999,1,Slice Node
Pupa#0055,1,Slice Node
Entl#0523,1,Full Node
soonIm Kang#6200,3,Slice Node
KBADPaTuK#1830,3,Slice Node
wsungc#5697,3,Slice Node
KBaDPaTuK#1830,3,Slice Node
KBaDPaTuK#1830,1,Slice Node
sahbutdinovrinas#3201,1,Full Node
smartshall#3641,1,Full Node
cyberguy#0435,2,Full Node
Ms Kang#5292,3,Slice Node
dr sir#0486,3,Slice Node
ASM#4806,3,Full Node
RedHead#2101,1,Full Node
SerGo#8747,3,Full Node
volgariver#7761,1,Slice Node
banghj#9194,3,Slice Node
Top#9489,3,Slice Node
DAO#0341,2,Full Node
GHOUL#5317,3,Slice Node
sandyman#4921,3,Slice Node
silent666#8303,3,Full Node
mishal#4562,1,Full Node
Vitalik#9403,1,Full Node
Yngvarr[Игорь]#6934,3,Full Node
Kuzma#9283,1,Full Node
ManFromHell (Иван)#9613,3,Full Node
vlad_connect#0889,3,Full Node
Liver#1860,1,Full Node
saabtest#4438,,
Savik#9606,2,Full Node
Rav_9999#0737,1,Full Node
JuliaO#5064,3,Slice Node
Vladyslav#4067,2,Full Node
Gendarme#2781,3,Slice Node
paninghenya#5837,,
kasper#1561,,
Matrin#4016,,
abrartov#5435,,
Primat#6030,,
Sergey Zvezdin#1990,1,Full Node
Олеся|Ogni#7510,1,Slice Node
Revizor#8231,3,Slice Node
KlausLikeBeer#3900,2,Slice Node
label73#4872,3,Full Node
marcuz#2115,3,Slice Node
Артемий#9683,1,Slice Node
Deendy#6623,2,Slice Node
LemonUser1919#5772,1,Slice Node
Xopek#8185,1,Slice Node
SeptimA [NODERS]#9554,1,Full Node
Yarik#8352,3,Slice Node
Tata#3696,3,Full Node
leroylamboi#7701,1,Full Node
Александр2828#3914,1,Full Node
☩swizzi☩#8329,3,Full Node
JleUTeHaHT#2320,1,Full Node
Frusciante#0550,3,Full Node
Maximilian#1583,1,Slice Node
Kent#8549,1,Full Node
Людмила#9566,2,Full Node
VictorN#2260,2,Slice Node
RageDe | KurateDAO#9637,3,Slice Node
dmykff#6584,3,Slice Node
ryssroad#7010,3,Slice Node
Hivoltage#5641,2,Full Node
Наиль#7550,3,Full Node
EnigmaAI#6730,2,Slice Node
geforcen777#7760,1,Slice Node
lordi777#5589,1,Slice Node
mumika777#4467,1,Full Node
SKiFF#5580,1,Slice Node
Fleizz#9667,1,Full Node
Tepm#7647,1,Full Node
luxxx#5519 ,1,Full Node
_AxelSnake_#7330,1,Slice Node
Giga#7866,3,Full Node
Аля | RØ CRYPTØ#3228,1,Full Node
llovelyll#8474,3,Full Node
Denis BR#7386,1,Full Node
Andrey1209#7357,1,Full Node
FNORD#5850,1,Full Node
sandipops#6400,3,Slice Node
SopranoLight#3745,1,Full Node
Zelivsky#3054,1,Slice Node
ALK#9295,3,Slice Node
Artem Lyndov#5474,1,Full Node
flakeman#1739,2,Full Node
tsmartem#0270,3,Slice Node
AgentSteinberg#9568,3,Full Node
bennyhana321#2123,3,Full Node
madadicrew#2432,1,Full Node
Vissam#7813,3,Full Node
tianderkiuas#4104,3,Full Node
krohobor#2084,,
Xronos21#9093,2,Full Node
PraStarix#2088,,
probanist#1071,,
artullium#7661,,
Евгений Малиновский#7285,2,Full Node
Kot9610#9247,2,Full Node
rulezzz1996#7757,2,Full Node
midlet#9567,2,Full Node
gilbert888#0555,1,Full Node
v1tall#2636,1,Full Node
Iri#3433,1,Full Node
cam57#0522,1,Slice Node
JaxaDjan#2856,1,Full Node
Wfb#6680,1,Full Node
Melo#8558,3,Full Node
dead_m0r0z#1685,1,Full Node
Чикипоки#4271,1,Full Node
SneG_UrkA#7115,1,Full Node
dr0p8#1290,1,Full Node
hostel777#6621,2,Full Node
str1v3r#9292,1,Full Node
Vebust#5291,1,Full Node
Hugogleb#0679,1,Full Node
itsys4#0931,1,Full Node
stanel#6435,1,Full Node
ntkach85#5439,1,Full Node
Kokosnuß#1980,1,Full Node
d1rect#2327,1,Slice Node
AstroCat#2277,3,Full Node
Go Up#6175,,
Vovan#1936,1,Slice Node
Павел Шарман#9926,1,Full Node
Fastintop#6606,3,Slice Node
kelpie#6645,3,Slice Node
SpadaValerio#4539,3,Slice Node
VilhelmBerglund#6990,3,Slice Node
LambertValerie#4124,3,Slice Node
Denda | KurateDAO#2574,1,Full Node
BOMJ#8444,1,Full Node
Valeria1743#0986,1,Full Node
Alex1981#8062,1,Full Node
PencilDetrov#5834,1,Full Node
OlegPulenko#6376,1,Full Node
PapochkaRocket#2847,3,Slice Node
marmalade#8856,2,Slice Node
Cemal#5981,3,Full Node
Doctor_Strange#9784,1,Full Node
Morbio#1953,1,Full Node
zismo#3650,3,Full Node
GiacomoBonelli#3436,3,Slice Node
JoanMorton#8678,3,Slice Node
MelvinMorrison#2789,3,Slice Node
KMS#1386,3,Slice Node
Rmanwork#6421,3,Slice Node
BlackAmie#9316,,
ThomasEve#4485,3,Slice Node
IziDAO#2876,1,Slice Node
Konos#6816,3,Full Node
dizza#9624,2,Full Node
